Date,StockCode,ATC,Floor,MainIndex,PSGD
2023-04-28,NTL,22.7,HOSE,NULL,CHIU
2023-04-28,KLF,0.8,HNX,HNX30,CHIU
2023-04-28,CKV,12.0,HNX,NULL,CHIU
2023-04-28,HII,4.87,HOSE,NULL,CHIU
2023-04-28,PSW,7.5,HNX,NULL,CHIU
2023-04-28,PGN,8.3,HNX,NULL,CHIU
2023-04-28,IMP,51.9,HOSE,NULL,CHIU
2023-04-28,LM7,2.1,HNX,NULL,CHIU
2023-04-28,TCM,52.7,HOSE,NULL,CHIU
2023-04-28,PSH,8.56,HOSE,NULL,CHIU
2023-04-28,VTH,8.0,HNX,NULL,CHIU
2023-04-28,SJF,2.86,HOSE,NULL,CHIU
2023-04-28,VJC,97.0,HOSE,VN30,CHIU
2023-04-28,VPI,51.9,HOSE,NULL,CHIU
2023-04-28,HVX,2.88,HOSE,NULL,CHIU
2023-04-28,SMA,6.8,HOSE,NULL,CHIU
2023-04-28,TPB,23.8,HOSE,VN30,CHIU
2023-04-28,FUESSV30,13.35,HOSE,NULL,CHIU
2023-04-28,SSI,21.55,HOSE,VN30,CHIU
2023-04-28,PMG,11.4,HOSE,NULL,CHIU
2023-04-28,APC,12.4,HOSE,NULL,CHIU
2023-04-28,PRC,22.8,HNX,NULL,CHIU
2023-04-28,NTH,55.6,HNX,NULL,CHIU
2023-04-28,BTW,29.3,HNX,NULL,CHIU
2023-04-28,CTT,13.8,HNX,NULL,CHIU
2023-04-28,ART,1.3,HNX,NULL,CHIU
2023-04-28,ICG,4.4,HNX,NULL,CHIU
2023-04-28,VNT,60.8,HNX,NULL,CHIU
2023-04-28,TKG,14.0,HNX,NULL,CHIU
2023-04-28,THT,12.4,HNX,NULL,CHIU
2023-04-28,PHN,39.5,HNX,NULL,CHIU
2023-04-28,TMB,28.8,HNX,NULL,CHIU
2023-04-28,POT,15.4,HNX,NULL,CHIU
2023-04-28,CTC,1.6,HNX,NULL,CHIU
2023-04-28,BST,20.4,HNX,NULL,CHIU
2023-04-28,GMA,44.4,HNX,NULL,CHIU
2023-04-28,PSD,13.4,HNX,NULL,CHIU
2023-04-28,CCR,11.1,HNX,NULL,CHIU
2023-04-28,AMV,4.6,HNX,NULL,CHIU
2023-04-28,PTI,30.1,HNX,NULL,CHIU
2023-04-28,HMR,6.8,HNX,NULL,CHIU
2023-04-28,SD9,6.8,HNX,NULL,CHIU
2023-04-28,L40,26.8,HNX,NULL,CHIU
2023-04-28,IDJ,13.3,HNX,NULL,CHIU
2023-04-28,WSS,5.1,HNX,NULL,CHIU
2023-04-28,DDG,9.0,HNX,HNX30,CHIU
2023-04-28,DNC,32.9,HNX,NULL,CHIU
2023-04-28,PV2,2.0,HNX,NULL,CHIU
2023-04-28,VC6,7.9,HNX,NULL,CHIU
2023-04-28,PMS,24.1,HNX,NULL,CHIU
2023-04-28,VC7,7.0,HNX,NULL,CHIU
2023-04-28,PPY,9.4,HNX,NULL,CHIU
2023-04-28,TMC,10.2,HNX,NULL,CHIU
2023-04-28,SJ1,14.5,HNX,NULL,CHIU
2023-04-28,HDA,4.5,HNX,NULL,CHIU
2023-04-28,DTK,9.8,HNX,NULL,CHIU
2023-04-28,VC9,4.8,HNX,NULL,CHIU
2023-04-28,DXP,9.7,HNX,NULL,CHIU
2023-04-28,SDA,6.0,HNX,NULL,CHIU
2023-04-28,PVB,13.3,HNX,HNX30,CHIU
2023-04-28,GKM,38.0,HNX,NULL,CHIU
2023-04-28,L43,4.9,HNX,NULL,CHIU
2023-04-28,DZM,2.9,HNX,NULL,CHIU
2023-04-28,TVD,14.4,HNX,NULL,CHIU
2023-04-28,CJC,27.0,HNX,NULL,CHIU
2023-04-28,BII,1.2,HNX,NULL,CHIU
2023-04-28,PBP,10.9,HNX,NULL,CHIU
2023-04-28,VTZ,9.5,HNX,NULL,CHIU
2023-04-28,VTC,13.0,HNX,NULL,CHIU
2023-04-28,NBP,14.5,HNX,NULL,CHIU
2023-04-28,RAL,97.7,HOSE,NULL,CHIU
2023-04-28,DCM,23.7,HOSE,NULL,CHIU
